"Techstack","Links"
"React, Node.js, MongoDB","https://www.atliq.com/case-study/ocr-to-digitize-document-data-extraction"
"Angular,.NET, SQL Server","https://www.atliq.com/case-study/ocr-to-digitize-document-data-extraction"
"Vue.js, Ruby on Rails, PostgreSQL","https://www.atliq.com/case-study/ocr-to-digitize-document-data-extraction"
"Python, Django, MySQL","https://www.atliq.com/case-study/ai-for-uk-pharmacy-compliance"
"Java, Spring Boot, Oracle","https://www.atliq.com/case-study/ocr-to-digitize-document-data-extraction"
"Flutter, Firebase, GraphQL","https://www.atliq.com/case-study/ai-for-uk-pharmacy-compliance"
"WordPress, PHP, MySQL","https://www.atliq.com/case-study/ai-for-uk-pharmacy-compliance"
"Magento, PHP, MySQL","hhttps://www.atliq.com/case-study/ai-for-uk-pharmacy-compliance"
"React Native, Node.js, MongoDB","https://www.atliq.com/case-study/codebasics"
"iOS, Swift, Core Data","https://www.atliq.com/case-study/alacriti-analytics"
"Android, Java, Room Persistence","https://www.atliq.com/case-study/ai-for-uk-pharmacy-compliance"
"Kotlin, Android, Firebase","https://www.atliq.com/case-study/alacriti-analytics"
"Android TV, Kotlin, Android NDK","https://www.atliq.com/case-study/alacriti-analytics"
"iOS, Swift, ARKit","https://www.atliq.com/case-study/alacriti-analytics"
"Cross-platform, Xamarin, Azure","https://www.atliq.com/case-study/fraud-analytics"
"Backend, Kotlin, Spring Boot","https://www.atliq.com/case-study/fraud-analytics"
"Frontend, TypeScript, Angular","https://www.atliq.com/case-study/fraud-analytics"
"Full-stack, JavaScript, Express.js","https://www.atliq.com/case-study/codebasics"
"Machine Learning, Python, TensorFlow","https://www.atliq.com/case-study/codebasics"
"DevOps, Jenkins, Docker","https://www.atliq.com/case-study/codebasics"